route,town,n_waypoints,length_m,n_scenarios,scenario_types
24781,Town01,66,130.0,1,HardBreakRoute
24784,Town02,53,104.0,1,ControlLoss
24785,Town04,68,146.0,1,ConstructionObstacle
24795,Town04,68,142.5,1,ConstructionObstacle
24816,Town03,64,126.2,1,Accident
24841,Town01,67,132.0,1,ControlLoss
2509,Town12,68,135.1,1,ConstructionObstacle
2513,Town12,68,134.0,1,ConstructionObstacle
25300,Town04,68,155.5,1,HazardAtSideLane
25318,Town05,68,143.2,1,ParkedObstacle
2534,Town12,68,134.1,1,Accident
25358,Town06,68,139.3,1,StaticCutIn
25378,Town03,49,96.2,1,YieldToEmergencyVehicle
25381,Town05,68,135.0,1,HazardAtSideLane
25383,Town15,68,139.7,1,ParkedObstacle
2539,Town12,68,134.4,1,Accident
25424,Town11,55,108.0,1,ConstructionObstacleTwoWays
25439,Town15,68,129.4,1,HazardAtSideLane
2554,Town12,68,134.0,1,ParkedObstacle
25845,Town15,54,106.0,1,AccidentTwoWays
25854,Town03,68,132.4,1,HazardAtSideLaneTwoWays
25857,Town05,68,131.4,1,AccidentTwoWays
25863,Town07,28,86.0,1,PedestrianCrossing
25865,Town11,52,102.2,1,ParkedObstacleTwoWays
25896,Town03,68,132.4,1,ParkedObstacleTwoWays
25928,Town11,52,102.0,1,VehicleOpensDoorTwoWays
25951,Town04,68,136.3,1,HazardAtSideLaneTwoWays
25955,Town05,68,136.5,1,HazardAtSideLaneTwoWays
25968,Town07,18,50.8,1,VanillaSignalizedTurnEncounterGreenLight
25975,Town07,17,48.8,1,VanillaSignalizedTurnEncounterGreenLight
2606,Town12,68,134.0,1,ConstructionObstacleTwoWays
26393,Town03,68,136.4,1,ParkingExit
26394,Town06,26,137.0,1,MergerIntoSlowTrafficV2
26396,Town05,68,135.8,1,StaticCutIn
26401,Town06,27,124.4,1,MergerIntoSlowTrafficV2
26405,Town15,68,135.6,1,StaticCutIn
26406,Town04,68,146.0,1,HardBreakRoute
26408,Town06,27,139.0,1,MergerIntoSlowTrafficV2
26418,Town11,68,134.0,1,ControlLoss
2643,Town12,53,104.0,1,AccidentTwoWays
26435,Town03,68,132.4,1,ParkingExit
26456,Town03,68,132.4,1,HardBreakRoute
26458,Town07,27,72.6,1,T_Junction
2664,Town12,68,134.1,1,ParkedObstacleTwoWays
2668,Town12,58,113.6,1,ParkedObstacleTwoWays
26944,Town04,30,87.9,1,OppositeVehicleRunningRedLight
26950,Town03,27,73.0,1,OppositeVehicleRunningRedLight
26956,Town05,27,70.1,1,SignalizedJunctionRightTurn
26966,Town05,28,74.0,1,SignalizedJunctionRightTurn
26990,Town03,27,79.5,1,NonSignalizedJunctionLeftTurn
27018,Town15,29,74.4,1,SignalizedJunctionRightTurn
2709,Town12,68,134.6,1,StaticCutIn
2715,Town12,68,134.0,1,StaticCutIn
27494,Town04,30,81.9,1,BlockedIntersection
27506,Town05,28,74.6,1,EnterActorFlow
27515,Town03,29,76.5,1,PedestrianCrossing
27529,Town04,26,66.5,1,PedestrianCrossing
27532,Town11,27,67.3,1,BlockedIntersection
27582,Town11,26,65.1,1,PedestrianCrossing
2790,Town12,52,100.3,1,InvadingTurn
2802,Town12,58,114.0,1,InvadingTurn
28035,Town01,25,112.9,1,T_Junction
28048,Town02,28,77.9,1,T_Junction
28087,Town04,27,75.2,1,NonSignalizedJunctionLeftTurnEnterFlow
28093,Town04,29,77.5,1,NonSignalizedJunctionLeftTurnEnterFlow
28099,Town04,29,80.4,1,SignalizedJunctionLeftTurnEnterFlow
28111,Town04,31,86.6,1,T_Junction
28154,Town10HD,28,154.9,1,T_Junction
28198,Town15,26,77.9,1,SignalizedJunctionLeftTurnEnterFlow
28210,Town12,28,76.8,1,NonSignalizedJunctionLeftTurnEnterFlow
28219,Town12,28,76.7,1,NonSignalizedJunctionLeftTurnEnterFlow
28229,Town12,27,82.9,1,NonSignalizedJunctionLeftTurnEnterFlow
28241,Town12,27,73.2,1,SignalizedJunctionLeftTurnEnterFlow
28243,Town12,27,78.4,1,SignalizedJunctionLeftTurnEnterFlow
28330,Town12,27,82.2,1,SignalizedJunctionLeftTurnEnterFlow
2844,Town12,27,78.0,1,OppositeVehicleRunningRedLight
2847,Town12,26,84.0,1,OppositeVehicleRunningRedLight
2881,Town12,28,73.6,1,NonSignalizedJunctionLeftTurn
2903,Town12,28,78.1,1,NonSignalizedJunctionRightTurn
2913,Town12,27,74.7,1,OppositeVehicleTakingPriority
2943,Town12,27,71.2,1,VehicleTurningRoute
2989,Town12,28,71.1,1,BlockedIntersection
3048,Town12,28,163.8,1,MergerIntoSlowTraffic
3072,Town12,27,138.0,1,HighwayCutIn
3074,Town12,26,107.5,1,HighwayCutIn
3080,Town12,26,137.0,1,HighwayCutIn
3086,Town12,27,78.8,1,CrossingBicycleFlow
3090,Town12,28,79.0,1,CrossingBicycleFlow
3093,Town12,28,81.7,1,CrossingBicycleFlow
3099,Town12,29,80.4,1,CrossingBicycleFlow
3100,Town12,27,76.0,1,CrossingBicycleFlow
3144,Town12,18,50.7,1,VanillaSignalizedTurnEncounterRedLight
3178,Town12,17,57.9,1,VanillaNonSignalizedTurn
3184,Town12,18,58.2,1,VanillaNonSignalizedTurnEncounterStopsign
3189,Town12,18,56.7,1,VanillaNonSignalizedTurnEncounterStopsign
3248,Town13,68,134.0,1,ParkingCrossingPedestrian
3255,Town13,60,118.0,1,ParkingCrossingPedestrian
3307,Town13,68,134.0,1,Accident
3364,Town13,53,104.0,1,YieldToEmergencyVehicle
3373,Town13,53,104.0,1,YieldToEmergencyVehicle
3378,Town13,53,104.0,1,YieldToEmergencyVehicle
3380,Town13,53,104.5,1,YieldToEmergencyVehicle
3410,Town13,68,133.4,1,AccidentTwoWays
3436,Town13,68,134.0,1,HazardAtSideLaneTwoWays
3457,Town13,68,134.0,1,ParkedObstacleTwoWays
3464,Town13,68,134.0,1,VehicleOpensDoorTwoWays
3472,Town13,68,134.0,1,VehicleOpensDoorTwoWays
3476,Town13,68,134.1,1,VehicleOpensDoorTwoWays
3482,Town13,68,131.6,1,VehicleOpensDoorTwoWays
3514,Town13,68,134.0,1,ParkingExit
3520,Town13,68,134.0,1,ParkingExit
3540,Town13,68,136.2,1,HardBreakRoute
3561,Town13,68,133.2,1,ControlLoss
3564,Town13,53,104.0,1,InvadingTurn
3572,Town13,52,102.0,1,InvadingTurn
3575,Town13,53,104.0,1,InvadingTurn
3666,Town13,27,71.2,1,NonSignalizedJunctionRightTurn
3670,Town13,26,68.6,1,NonSignalizedJunctionRightTurn
3676,Town13,28,69.4,1,NonSignalizedJunctionRightTurn
3697,Town13,28,72.9,1,OppositeVehicleTakingPriority
3708,Town13,25,63.3,1,VehicleTurningRoute
3712,Town13,29,75.3,1,VehicleTurningRoute
3717,Town13,26,72.1,1,VehicleTurningRoute
3731,Town13,29,75.2,1,VehicleTurningRoutePedestrian
3737,Town13,27,69.7,1,VehicleTurningRoutePedestrian
3749,Town13,27,82.0,1,EnterActorFlow
3785,Town13,25,222.3,1,MergerIntoSlowTraffic
3800,Town13,27,181.9,1,MergerIntoSlowTraffic
3813,Town13,28,142.0,1,HighwayCutIn
3865,Town13,18,60.2,1,VanillaSignalizedTurnEncounterRedLight
3869,Town13,18,56.8,1,VanillaSignalizedTurnEncounterRedLight
3876,Town13,18,51.3,1,VanillaSignalizedTurnEncounterRedLight
3890,Town13,18,59.1,1,VanillaNonSignalizedTurn
3904,Town13,19,55.2,1,VanillaNonSignalizedTurnEncounterStopsign
3905,Town13,19,60.4,1,VanillaNonSignalizedTurnEncounterStopsign
3936,Town12,29,77.8,1,SignalizedJunctionLeftTurn
4183,Town12,25,68.4,1,SignalizedJunctionLeftTurn
4468,Town12,29,74.5,1,SignalizedJunctionLeftTurn
4669,Town12,26,73.3,1,SignalizedJunctionLeftTurn
4683,Town12,27,72.7,1,SignalizedJunctionLeftTurn
4937,Town12,25,62.3,1,SignalizedJunctionRightTurn
