route,run,arm,status,score,collisions,failed,watchdog
28243,4,base,Completed,100,0,0,0
2844,1,cand,Completed,100,0,0,0
2844,1,base,Completed,100,0,0,0
2844,2,cand,Completed,100,0,0,0
2844,2,base,Completed,100,0,0,0
2844,3,cand,Completed,60,13.021,1,0
2844,3,base,Completed,100,0,0,0
2844,4,cand,Failed,28.716,27.207,1,0
2844,4,base,Completed,100,0,0,0
2913,1,cand,Completed,60,12.742,1,0
2913,1,base,Completed,100,0,0,0
2913,2,cand,Completed,60,12.742,1,0
2913,2,base,Completed,100,0,0,0
2913,3,cand,Completed,60,12.742,1,0
2913,3,base,Completed,100,0,0,0
2913,4,cand,Completed,60,12.742,1,0
2913,4,base,Completed,100,0,0,0
3086,1,cand,Completed,42,12.004,1,0
3086,1,base,Completed,100,0,0,0
3086,2,cand,Completed,42,12.004,1,0
3086,2,base,Completed,100,0,0,0
3086,3,cand,Completed,70,0,1,0
3086,3,base,Completed,100,0,0,0
3086,4,cand,Completed,42,12.004,1,0
3086,4,base,Completed,100,0,0,0
3410,1,cand,Failed,20.8338,28.248,1,0
3410,1,base,Failed,86.48,0,1,0
3410,2,cand,Failed,33.2605,14.745,1,0
3410,2,base,Completed,100,0,0,0
3410,3,cand,Completed,60,7.545,1,0
3410,3,base,Completed,100,0,0,0
3410,4,cand,Failed,5.892588,53.93,1,0
3410,4,base,Completed,100,0,0,0
3697,1,cand,Completed,60,13.107,1,0
3697,1,base,Completed,100,0,0,0
3697,2,cand,Completed,100,0,0,0
3697,2,base,Completed,100,0,0,0
3697,3,cand,Completed,60,13.107,1,0
3697,3,base,Completed,100,0,0,0
3697,4,cand,Completed,60,13.107,1,0
3697,4,base,Completed,100,0,0,0
3717,1,cand,Failed,34.092,23.747,1,0
3717,1,base,Completed,100,0,0,0
3717,2,cand,Completed,60,13.493,1,0
3717,2,base,Completed,100,0,0,0
3717,3,cand,Completed,60,13.493,1,0
3717,3,base,Completed,100,0,0,0
3717,4,cand,Completed,60,13.493,1,0
3717,4,base,Completed,100,0,0,0
3737,1,cand,Completed,25,27.189,1,0
3737,1,base,Completed,100,0,0,0
3737,2,cand,Completed,25,27.189,1,0
3737,2,base,Completed,100,0,0,0
3737,3,cand,Completed,25,27.189,1,0
3737,3,base,Completed,100,0,0,0
3737,4,cand,Completed,100,0,0,0
3737,4,base,Completed,70,0,1,0
4183,1,cand,Failed,12.3102,57.381,1,0
4183,1,base,Completed,100,0,0,0
4183,2,cand,Failed,14.271962,36.136,1,0
4183,2,base,Completed,100,0,0,0
4183,3,cand,Failed,8.563177,54.204,1,0
4183,3,base,Completed,100,0,0,0
4183,4,cand,Completed,70,0,1,0
4183,4,base,Completed,100,0,0,0
4669,1,cand,Completed,42,12.88,1,0
4669,1,base,Completed,100,0,0,0
4669,2,cand,Completed,42,12.88,1,0
4669,2,base,Completed,60,12.88,1,0
4669,3,cand,Completed,42,12.88,1,0
4669,3,base,Completed,100,0,0,0
4669,4,cand,Completed,42,12.88,1,0
4669,4,base,Completed,100,0,0,0
3090,1,cand,Completed,70,0,1,0
3090,1,base,Completed,100,0,0,0
3090,2,cand,Completed,70,0,1,0
3090,2,base,Completed,100,0,0,0
3936,1,cand,Completed,70,0,1,0
3936,1,base,Failed,28.566,25.666,1,0
3936,2,cand,Completed,70,0,1,0
3936,2,base,Completed,60,12.219,1,0
4468,1,cand,Completed,42,12.888,1,0
4468,1,base,Completed,100,0,0,0
4468,2,cand,Completed,42,12.888,1,0
4468,2,base,Completed,100,0,0,0
2881,1,cand,Completed,48,12.682,1,0
2881,1,base,Completed,100,0,0,0
2881,2,cand,Completed,48,12.682,1,0
2881,2,base,Completed,100,0,0,0
3666,1,cand,Completed,80,0,1,0
3666,1,base,Completed,100,0,0,0
3666,2,cand,Completed,80,0,1,0
3666,2,base,Completed,100,0,0,0
25975,1,cand,Failed,35.79,0,1,0
25975,1,base,Completed,100,0,0,0
25975,2,cand,Failed,35.79,0,1,0
25975,2,base,Completed,100,0,0,0
